group_a,group_b,mean_diff,p_value,ci_low,ci_high,significant_0.05
nightly-2020-01-30,nightly-2020-06-01,-43.294500,0.929171,-130.013695,43.424695,False
nightly-2020-01-30,nightly-2021-03-01,205.114000,1.67921e-12,118.394805,291.833195,True
nightly-2020-01-30,nightly-2021-06-01,333.723500,0,247.004305,420.442695,True
nightly-2020-01-30,nightly-2021-08-01,325.013500,0,238.294305,411.732695,True
nightly-2020-01-30,nightly-2022-09-01,547.489500,0,460.770305,634.208695,True
nightly-2020-01-30,nightly-2023-01-01,588.031500,0,501.312305,674.750695,True
nightly-2020-01-30,nightly-2023-06-01,717.423500,0,630.704305,804.142695,True
nightly-2020-01-30,nightly-2024-06-01,759.689500,0,672.970305,846.408695,True
nightly-2020-01-30,nightly-2024-12-01,782.032000,0,695.312805,868.751195,True
nightly-2020-01-30,nightly-2025-06-01,901.540500,0,814.821305,988.259695,True
nightly-2020-01-30,nightly-2025-09-01,777.965500,0,691.246305,864.684695,True
nightly-2020-01-30,nightly-2025-12-01,792.702500,0,705.983305,879.421695,True
nightly-2020-01-30,nightly-2026-01-01,697.269500,0,610.550305,783.988695,True
nightly-2020-01-30,nightly-2026-02-24,686.497000,0,599.777805,773.216195,True
nightly-2020-06-01,nightly-2021-03-01,248.408500,0,161.689305,335.127695,True
nightly-2020-06-01,nightly-2021-06-01,377.018000,0,290.298805,463.737195,True
nightly-2020-06-01,nightly-2021-08-01,368.308000,0,281.588805,455.027195,True
nightly-2020-06-01,nightly-2022-09-01,590.784000,0,504.064805,677.503195,True
nightly-2020-06-01,nightly-2023-01-01,631.326000,0,544.606805,718.045195,True
nightly-2020-06-01,nightly-2023-06-01,760.718000,0,673.998805,847.437195,True
nightly-2020-06-01,nightly-2024-06-01,802.984000,0,716.264805,889.703195,True
nightly-2020-06-01,nightly-2024-12-01,825.326500,0,738.607305,912.045695,True
nightly-2020-06-01,nightly-2025-06-01,944.835000,0,858.115805,1031.554195,True
nightly-2020-06-01,nightly-2025-09-01,821.260000,0,734.540805,907.979195,True
nightly-2020-06-01,nightly-2025-12-01,835.997000,0,749.277805,922.716195,True
nightly-2020-06-01,nightly-2026-01-01,740.564000,0,653.844805,827.283195,True
nightly-2020-06-01,nightly-2026-02-24,729.791500,0,643.072305,816.510695,True
nightly-2021-03-01,nightly-2021-06-01,128.609500,7.04526e-05,41.890305,215.328695,True
nightly-2021-03-01,nightly-2021-08-01,119.899500,0.000343492,33.180305,206.618695,True
nightly-2021-03-01,nightly-2022-09-01,342.375500,0,255.656305,429.094695,True
nightly-2021-03-01,nightly-2023-01-01,382.917500,0,296.198305,469.636695,True
nightly-2021-03-01,nightly-2023-06-01,512.309500,0,425.590305,599.028695,True
nightly-2021-03-01,nightly-2024-06-01,554.575500,0,467.856305,641.294695,True
nightly-2021-03-01,nightly-2024-12-01,576.918000,0,490.198805,663.637195,True
nightly-2021-03-01,nightly-2025-06-01,696.426500,0,609.707305,783.145695,True
nightly-2021-03-01,nightly-2025-09-01,572.851500,0,486.132305,659.570695,True
nightly-2021-03-01,nightly-2025-12-01,587.588500,0,500.869305,674.307695,True
nightly-2021-03-01,nightly-2026-01-01,492.155500,0,405.436305,578.874695,True
nightly-2021-03-01,nightly-2026-02-24,481.383000,0,394.663805,568.102195,True
nightly-2021-06-01,nightly-2021-08-01,-8.710000,1,-95.429195,78.009195,False
nightly-2021-06-01,nightly-2022-09-01,213.766000,7.12763e-14,127.046805,300.485195,True
nightly-2021-06-01,nightly-2023-01-01,254.308000,0,167.588805,341.027195,True
nightly-2021-06-01,nightly-2023-06-01,383.700000,0,296.980805,470.419195,True
nightly-2021-06-01,nightly-2024-06-01,425.966000,0,339.246805,512.685195,True
nightly-2021-06-01,nightly-2024-12-01,448.308500,0,361.589305,535.027695,True
nightly-2021-06-01,nightly-2025-06-01,567.817000,0,481.097805,654.536195,True
nightly-2021-06-01,nightly-2025-09-01,444.242000,0,357.522805,530.961195,True
nightly-2021-06-01,nightly-2025-12-01,458.979000,0,372.259805,545.698195,True
nightly-2021-06-01,nightly-2026-01-01,363.546000,0,276.826805,450.265195,True
nightly-2021-06-01,nightly-2026-02-24,352.773500,0,266.054305,439.492695,True
nightly-2021-08-01,nightly-2022-09-01,222.476000,0,135.756805,309.195195,True
nightly-2021-08-01,nightly-2023-01-01,263.018000,0,176.298805,349.737195,True
nightly-2021-08-01,nightly-2023-06-01,392.410000,0,305.690805,479.129195,True
nightly-2021-08-01,nightly-2024-06-01,434.676000,0,347.956805,521.395195,True
nightly-2021-08-01,nightly-2024-12-01,457.018500,0,370.299305,543.737695,True
nightly-2021-08-01,nightly-2025-06-01,576.527000,0,489.807805,663.246195,True
nightly-2021-08-01,nightly-2025-09-01,452.952000,0,366.232805,539.671195,True
nightly-2021-08-01,nightly-2025-12-01,467.689000,0,380.969805,554.408195,True
nightly-2021-08-01,nightly-2026-01-01,372.256000,0,285.536805,458.975195,True
nightly-2021-08-01,nightly-2026-02-24,361.483500,0,274.764305,448.202695,True
nightly-2022-09-01,nightly-2023-01-01,40.542000,0.957678,-46.177195,127.261195,False
nightly-2022-09-01,nightly-2023-06-01,169.934000,1.13102e-08,83.214805,256.653195,True
nightly-2022-09-01,nightly-2024-06-01,212.200000,1.64313e-13,125.480805,298.919195,True
nightly-2022-09-01,nightly-2024-12-01,234.542500,0,147.823305,321.261695,True
nightly-2022-09-01,nightly-2025-06-01,354.051000,0,267.331805,440.770195,True
nightly-2022-09-01,nightly-2025-09-01,230.476000,0,143.756805,317.195195,True
nightly-2022-09-01,nightly-2025-12-01,245.213000,0,158.493805,331.932195,True
nightly-2022-09-01,nightly-2026-01-01,149.780000,1.01289e-06,63.060805,236.499195,True
nightly-2022-09-01,nightly-2026-02-24,139.007500,9.36765e-06,52.288305,225.726695,True
nightly-2023-01-01,nightly-2023-06-01,129.392000,6.08103e-05,42.672805,216.111195,True
nightly-2023-01-01,nightly-2024-06-01,171.658000,7.55647e-09,84.938805,258.377195,True
nightly-2023-01-01,nightly-2024-12-01,194.000500,3.16739e-11,107.281305,280.719695,True
nightly-2023-01-01,nightly-2025-06-01,313.509000,0,226.789805,400.228195,True
nightly-2023-01-01,nightly-2025-09-01,189.934000,8.87611e-11,103.214805,276.653195,True
nightly-2023-01-01,nightly-2025-12-01,204.671000,1.90026e-12,117.951805,291.390195,True
nightly-2023-01-01,nightly-2026-01-01,109.238000,0.00206846,22.518805,195.957195,True
nightly-2023-01-01,nightly-2026-02-24,98.465500,0.010616,11.746305,185.184695,True
nightly-2023-06-01,nightly-2024-06-01,42.266000,0.94105,-44.453195,128.985195,False
nightly-2023-06-01,nightly-2024-12-01,64.608500,0.409162,-22.110695,151.327695,False
nightly-2023-06-01,nightly-2025-06-01,184.117000,3.7741e-10,97.397805,270.836195,True
nightly-2023-06-01,nightly-2025-09-01,60.542000,0.525352,-26.177195,147.261195,False
nightly-2023-06-01,nightly-2025-12-01,75.279000,0.171993,-11.440195,161.998195,False
nightly-2023-06-01,nightly-2026-01-01,-20.154000,0.999975,-106.873195,66.565195,False
nightly-2023-06-01,nightly-2026-02-24,-30.926500,0.996587,-117.645695,55.792695,False
nightly-2024-06-01,nightly-2024-12-01,22.342500,0.999911,-64.376695,109.061695,False
nightly-2024-06-01,nightly-2025-06-01,141.851000,5.27471e-06,55.131805,228.570195,True
nightly-2024-06-01,nightly-2025-09-01,18.276000,0.999992,-68.443195,104.995195,False
nightly-2024-06-01,nightly-2025-12-01,33.013000,0.993404,-53.706195,119.732195,False
nightly-2024-06-01,nightly-2026-01-01,-62.420000,0.470749,-149.139195,24.299195,False
nightly-2024-06-01,nightly-2026-02-24,-73.192500,0.208496,-159.911695,13.526695,False
nightly-2024-12-01,nightly-2025-06-01,119.508500,0.000367927,32.789305,206.227695,True
nightly-2024-12-01,nightly-2025-09-01,-4.066500,1,-90.785695,82.652695,False
nightly-2024-12-01,nightly-2025-12-01,10.670500,1,-76.048695,97.389695,False
nightly-2024-12-01,nightly-2026-01-01,-84.762500,0.063039,-171.481695,1.956695,False
nightly-2024-12-01,nightly-2026-02-24,-95.535000,0.0160094,-182.254195,-8.815805,True
nightly-2025-06-01,nightly-2025-09-01,-123.575000,0.000178207,-210.294195,-36.855805,True
nightly-2025-06-01,nightly-2025-12-01,-108.838000,0.00220533,-195.557195,-22.118805,True
nightly-2025-06-01,nightly-2026-01-01,-204.271000,2.12264e-12,-290.990195,-117.551805,True
nightly-2025-06-01,nightly-2026-02-24,-215.043500,1.92069e-14,-301.762695,-128.324305,True
nightly-2025-09-01,nightly-2025-12-01,14.737000,1,-71.982195,101.456195,False
nightly-2025-09-01,nightly-2026-01-01,-80.696000,0.0993948,-167.415195,6.023195,False
nightly-2025-09-01,nightly-2026-02-24,-91.468500,0.0275822,-178.187695,-4.749305,True
nightly-2025-12-01,nightly-2026-01-01,-95.433000,0.0162355,-182.152195,-8.713805,True
nightly-2025-12-01,nightly-2026-02-24,-106.205500,0.00334113,-192.924695,-19.486305,True
nightly-2026-01-01,nightly-2026-02-24,-10.772500,1,-97.491695,75.946695,False
